Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4, C6, C7",0603,5,0.1uF,
"C3, C5",0603,2,4.7nF,
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",LED_SunLED_XZ_Reverse_Mount,16,LED,
"J2, J4, J5",PinHeader_1x03_P2.54mm_Vertical,3,Conn_01x03_Pin,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
P1,Slider_SpatialInterpolation_3P_1L,1,Slider_Spatial_3P_1L,
"P2, P5, P6",Cap_Touch_Ring_Small,3,~,
P7,Slider_ResistiveInterpolation_3P_1L,1,Slider_Resistive_3P_1L,
P8,Slider_ResistiveInterpolation_7P_2L,1,~,
P9,Slider_ResistiveInterpolation_Thin_7P_2L,1,~,
"Q1, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",TSOT-23,16,Q_NMOS_GSD,
"R1, R17, R48",0603,3,47k,
"R10, R32, R34, R39, R40, R58, R59, R8",0603,8,2k4,
"R11, R12, R13, R15, R16, R18, R19, R21, R22, R23, R24, R26, R27, R28, R29, R31, R41, R42, R43, R44, R45, R46, R47, R49, R50, R51, R52, R53, R54, R55, R56, R57",0603,32,1k2,
"R14, R20, R25, R30, R33, R35, R36, R60, R61, R62, R63, R64, R65, R66, R67, R68, R7, R9",0603,18,1k,
"R37, R38, R4, R5, R6, R95, R96, R97",0603,8,10k,
"R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R83, R84",0603,16,470R 1/2W,
"R85, R86, R87, R92, R93, R94",0603,6,2k,
"R88, R89, R90, R91",0603,4,1k5,
"TP1, TP2",TestPoint_Pad_D3.0mm,2,TestPoint,
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,AT42QT2120,AT42QT2120-XUR
"U2, U3",VQFN-28-1EP_4x4mm_P0.45mm_EP2.4x2.4mm_ThermalVias,2,AT42QT2160-MMU,AT42QT2160-MMU
"U4, U5",DHVQFN-16-1EP_2.5x3.5mm_P0.5mm_EP1x2mm,2,74HCT595,
